Time (s);EOG1;Sampling Rate
0.0000000000e+00;-8.8158428090e-11;250
3.9999999572e-03;1.0451594448e-02;
7.9999999143e-03;1.0025622511e-01;
1.1999999871e-02;3.1064268709e-01;
1.5999999829e-02;3.1915198368e-01;
1.9999999786e-02;-4.1694473470e-01;
2.3999999976e-02;-1.7329762472e+00;
2.7999999933e-02;-2.6633711655e+00;
3.1999999890e-02;-2.8523026696e+00;
3.5999999847e-02;-3.0389713920e+00;
3.9999999804e-02;-3.6079388202e+00;
4.3999999994e-02;-4.0555877353e+00;
4.7999999952e-02;-4.3446542789e+00;
5.1999999909e-02;-5.2735210024e+00;
5.5999999866e-02;-7.0813866025e+00;
5.9999999823e-02;-8.9266024968e+00;
6.3999999780e-02;-1.0055278439e+01;
6.7999999970e-02;-1.0489305393e+01;
7.1999999927e-02;-1.0303488720e+01;
7.5999999885e-02;-9.2626022151e+00;
7.9999999842e-02;-7.6364581677e+00;
8.3999999799e-02;-6.3702121600e+00;
8.7999999989e-02;-5.9822898992e+00;
9.1999999946e-02;-6.0022660401e+00;
9.5999999903e-02;-5.7904834776e+00;
9.9999999860e-02;-5.4146594042e+00;
1.0399999982e-01;-5.2234907802e+00;
1.0799999977e-01;-5.1149072668e+00;
1.1199999996e-01;-5.1238421782e+00;
1.1599999992e-01;-6.1437989722e+00;
1.1999999988e-01;-8.9082774446e+00;
1.2399999984e-01;-1.2528782263e+01;
1.2799999979e-01;-1.5019686769e+01;
1.3199999975e-01;-1.5284312022e+01;
1.3599999971e-01;-1.3919481096e+01;
1.3999999966e-01;-1.1813658091e+01;
1.4399999962e-01;-8.8624539934e+00;
1.4799999958e-01;-5.2870500427e+00;
1.5199999977e-01;-3.4133277712e+00;
1.5599999973e-01;-6.1035935671e+00;
1.5999999968e-01;-1.3615025265e+01;
1.6399999964e-01;-2.3639963572e+01;
1.6799999960e-01;-3.3707094484e+01;
1.7199999979e-01;-4.1690643418e+01;
1.7599999974e-01;-4.5157233076e+01;
1.7999999970e-01;-4.2891815124e+01;
1.8399999966e-01;-3.6942770072e+01;
1.8799999962e-01;-3.1337229873e+01;
1.9199999957e-01;-2.8565150353e+01;
1.9599999976e-01;-2.8267555651e+01;
1.9999999972e-01;-2.9054768675e+01;
2.0399999968e-01;-3.0126864676e+01;
2.0799999963e-01;-3.1082463438e+01;
2.1199999959e-01;-3.1680986255e+01;
2.1599999978e-01;-3.2186039275e+01;
2.1999999974e-01;-3.2898011392e+01;
2.2399999970e-01;-3.3256121778e+01;
2.2799999965e-01;-3.2425491854e+01;
2.3199999961e-01;-3.0673256380e+01;
2.3599999957e-01;-2.9279551172e+01;
2.3999999976e-01;-2.9205116535e+01;
2.4399999972e-01;-3.0228401003e+01;
2.4799999967e-01;-3.1237825045e+01;
2.5199999963e-01;-3.1184925877e+01;
2.5599999959e-01;-2.9666743069e+01;
2.5999999954e-01;-2.6929718140e+01;
2.6399999950e-01;-2.3941137951e+01;
2.6799999946e-01;-2.2146383317e+01;
2.7199999942e-01;-2.2348043856e+01;
2.7599999937e-01;-2.3963332595e+01;
2.7999999956e-01;-2.5859241760e+01;
2.8399999952e-01;-2.7507935638e+01;
2.8799999948e-01;-2.8690839163e+01;
2.9199999943e-01;-2.8788014303e+01;
2.9599999939e-01;-2.7523223775e+01;
